section_code,section_full
HU,Home University Seats Allotted to Home University Candidates
OHU,Other Than Home University Seats Allotted to Other Than Home University Candidates
HU_TO_OHU,Home University Seats Allotted to Other Than Home University Candidates
OHU_TO_HU,Other Than Home University Seats Allotted to Home University Candidates
SL,State Level
MI-MIN,Minority Seats : Minority Seats Allotted to Minority Candidates
MI-NONMIN,Minority Seats : Minority Seats Allotted to Non Minority Candidates
